sample_id,year,qtr,quarter,conductivity,dissolved_o2,ph,suspended_solids,cod,compliance_%
N4,2016,2,Apr-Jun,127.0,9.6,4.5,0,0.0,20.0
N4,2016,3,Jul-Sep,97.0,4.7,6.2,0,0.0,20.0
N4,2016,4,Oct-Dec,74.0,6.9,6.8,0,0.0,60.0
N7,2016,1,Jan-Mar,51.0,7.1,7.1,0,0.0,60.0
N7,2016,2,Apr-Jun,63.0,5.1,7.1,0,0.0,60.0
N7,2016,3,Jul-Sep,51.0,6.2,7.1,0,0.0,60.0
N7,2016,4,Oct-Dec,52.0,7.1,7.0,0,0.0,60.0
N8,2016,1,Jan-Mar,102.0,7.1,7.4,12,17.0,100.0
N8,2016,2,Apr-Jun,135.0,7.5,7.4,16,17.0,80.0
N8,2016,3,Jul-Sep,151.0,7.2,7.5,15,18.0,80.0
N8,2016,4,Oct-Dec,116.0,7.4,7.4,16,15.0,100.0
R1,2016,1,Jan-Mar,126.0,7.9,7.4,0,0.0,40.0
R1,2016,2,Apr-Jun,58.0,7.4,7.7,0,0.0,60.0
R1,2016,3,Jul-Sep,163.0,4.6,7.6,0,0.0,20.0
R1,2016,4,Oct-Dec,212.0,6.6,7.3,0,0.0,40.0
R2,2016,1,Jan-Mar,46.0,7.2,7.5,0,0.0,60.0
R2,2016,2,Apr-Jun,75.0,8.0,7.5,0,0.0,60.0
R2,2016,3,Jul-Sep,128.0,7.2,6.2,0,0.0,20.0
R2,2016,4,Oct-Dec,57.0,5.8,7.4,0,0.0,60.0
R3,2016,1,Jan-Mar,50.0,9.7,7.9,0,0.0,60.0
R3,2016,2,Apr-Jun,53.0,7.4,7.9,0,0.0,60.0
R3,2016,3,Jul-Sep,30.0,6.4,7.2,0,0.0,60.0
R3,2016,4,Oct-Dec,42.0,5.9,7.5,0,0.0,60.0
R4,2016,1,Jan-Mar,85.0,2.8,7.7,0,0.0,40.0
R4,2016,2,Apr-Jun,128.0,5.4,7.7,0,0.0,40.0
R4,2016,3,Jul-Sep,152.0,5.1,8.0,0,0.0,40.0
R4,2016,4,Oct-Dec,187.0,4.3,7.4,0,0.0,20.0
R5,2016,1,Jan-Mar,124.0,7.7,7.8,0,0.0,40.0
R5,2016,2,Apr-Jun,114.0,5.5,8.0,0,0.0,60.0
R5,2016,3,Jul-Sep,135.0,8.1,8.0,0,0.0,40.0
R5,2016,4,Oct-Dec,105.0,6.3,7.7,0,0.0,60.0
R6,2016,1,Jan-Mar,92.0,6.5,7.4,15,16.0,100.0
R6,2016,2,Apr-Jun,118.0,7.6,7.6,18,17.0,100.0
R6,2016,3,Jul-Sep,153.0,6.9,7.5,15,17.0,80.0
R6,2016,4,Oct-Dec,115.0,6.8,7.6,19,14.0,100.0
K1,2017,1,Jan-Mar,51.0,5.0,7.4,0,0.0,60.0
K1,2017,2,Apr-Jun,59.0,4.8,7.6,0,0.0,40.0
K1,2017,3,Jul-Sep,82.0,3.0,7.5,0,0.0,40.0
K1,2017,4,Oct-Dec,34.0,1.7,6.3,0,0.0,20.0
K10,2017,1,Jan-Mar,50.0,2.5,7.3,0,0.0,40.0
K10,2017,2,Apr-Jun,57.0,3.2,7.5,0,0.0,40.0
K10,2017,3,Jul-Sep,56.0,4.7,7.3,0,0.0,40.0
K10,2017,4,Oct-Dec,51.0,3.5,7.3,0,0.0,40.0
K11,2017,1,Jan-Mar,32.0,3.1,7.4,0,0.0,40.0
K11,2017,2,Apr-Jun,40.0,7.7,7.5,0,0.0,60.0
K11,2017,3,Jul-Sep,28.0,5.4,6.0,0,0.0,40.0
K11,2017,4,Oct-Dec,26.0,5.7,7.5,0,0.0,60.0
K14,2017,1,Jan-Mar,36.0,4.2,7.0,0,0.0,40.0
K14,2017,2,Apr-Jun,39.0,3.1,6.9,0,0.0,40.0
K14,2017,3,Jul-Sep,58.0,2.4,7.0,0,0.0,40.0
K14,2017,4,Oct-Dec,39.0,4.7,6.6,0,0.0,40.0
K18,2017,1,Jan-Mar,75.0,5.2,7.4,0,0.0,60.0
K18,2017,2,Apr-Jun,86.0,2.6,7.5,0,0.0,40.0
K18,2017,3,Jul-Sep,75.0,5.5,7.2,0,0.0,60.0
K18,2017,4,Oct-Dec,82.0,2.4,7.4,0,0.0,40.0
K19,2017,1,Jan-Mar,67.0,4.4,7.3,27,21.0,80.0
K19,2017,2,Apr-Jun,84.0,3.6,7.2,16,21.0,80.0
K19,2017,3,Jul-Sep,89.0,4.1,7.4,18,23.0,80.0
K19,2017,4,Oct-Dec,74.0,4.8,7.1,324,51.0,60.0
K21,2017,1,Jan-Mar,54.0,5.3,7.4,23,19.0,100.0
K21,2017,2,Apr-Jun,72.0,3.1,7.4,15,20.0,80.0
K21,2017,3,Jul-Sep,64.0,5.2,7.4,16,26.0,100.0
K21,2017,4,Oct-Dec,50.0,4.3,7.2,26,36.0,80.0
K25,2017,1,Jan-Mar,74.0,4.1,7.4,0,0.0,40.0
K25,2017,2,Apr-Jun,84.0,3.9,7.5,0,0.0,40.0
K25,2017,3,Jul-Sep,59.0,6.4,6.3,0,0.0,40.0
K25,2017,4,Oct-Dec,67.0,4.9,7.4,0,0.0,40.0
K3,2017,1,Jan-Mar,56.0,4.8,7.4,0,0.0,40.0
K3,2017,2,Apr-Jun,60.0,1.8,7.5,0,0.0,40.0
K3,2017,3,Jul-Sep,73.0,2.3,7.3,0,0.0,40.0
K3,2017,4,Oct-Dec,45.0,4.2,7.4,0,0.0,40.0
K4,2017,1,Jan-Mar,48.0,3.4,7.4,0,0.0,40.0
K4,2017,2,Apr-Jun,56.0,5.8,7.5,0,0.0,60.0
K4,2017,3,Jul-Sep,63.0,3.1,7.4,0,0.0,40.0
K4,2017,4,Oct-Dec,43.0,6.7,7.5,0,0.0,60.0
K5,2017,1,Jan-Mar,57.0,5.8,7.4,0,0.0,60.0
K5,2017,2,Apr-Jun,56.0,3.0,7.1,0,0.0,40.0
K5,2017,3,Jul-Sep,62.0,0.9,6.9,0,0.0,40.0
K5,2017,4,Oct-Dec,47.0,4.7,7.4,0,0.0,40.0
K6,2017,1,Jan-Mar,67.0,4.0,7.6,0,0.0,40.0
K6,2017,2,Apr-Jun,58.0,4.1,7.5,0,0.0,40.0
K6,2017,3,Jul-Sep,59.0,3.6,7.3,0,0.0,40.0
K6,2017,4,Oct-Dec,51.0,3.2,7.2,0,0.0,40.0
E17,2017,1,Jan-Mar,201.0,2.6,7.1,0,0.0,20.0
E17,2017,2,Apr-Jun,241.0,1.5,7.0,0,0.0,20.0
E17,2017,3,Jul-Sep,298.0,1.4,7.1,0,0.0,20.0
E17,2017,4,Oct-Dec,208.0,2.6,6.9,0,0.0,20.0
E2,2017,1,Jan-Mar,33.0,5.3,7.2,0,0.0,60.0
E2,2017,2,Apr-Jun,97.0,1.8,7.3,0,0.0,40.0
E2,2017,3,Jul-Sep,120.0,1.7,7.4,0,0.0,40.0
E2,2017,4,Oct-Dec,26.0,5.8,7.3,0,0.0,60.0
E7,2017,1,Jan-Mar,131.0,6.0,7.3,0,0.0,40.0
E7,2017,2,Apr-Jun,293.0,4.2,6.8,0,0.0,20.0
E7,2017,3,Jul-Sep,312.0,3.2,6.6,0,0.0,20.0
E7,2017,4,Oct-Dec,183.0,3.8,7.0,0,0.0,20.0
E8,2017,1,Jan-Mar,60.0,5.8,7.5,0,0.0,60.0
E8,2017,2,Apr-Jun,118.0,7.1,6.8,0,0.0,60.0
E8,2017,3,Jul-Sep,217.0,3.8,7.1,0,0.0,20.0
E8,2017,4,Oct-Dec,86.0,5.1,7.5,0,0.0,60.0
N4,2017,1,Jan-Mar,84.0,4.8,6.6,0,0.0,40.0
N4,2017,2,Apr-Jun,97.0,3.5,6.2,0,0.0,20.0
N4,2017,3,Jul-Sep,96.0,1.5,6.4,0,0.0,20.0
N4,2017,4,Oct-Dec,79.0,4.9,5.7,0,0.0,20.0
N7,2017,1,Jan-Mar,52.0,5.4,7.1,0,0.0,60.0
N7,2017,2,Apr-Jun,57.0,4.7,7.2,0,0.0,40.0
N7,2017,3,Jul-Sep,63.0,2.5,6.7,0,0.0,40.0
N7,2017,4,Oct-Dec,49.0,4.1,6.9,0,0.0,40.0
N8,2017,1,Jan-Mar,100.0,5.1,7.6,99,14.0,80.0
N8,2017,2,Apr-Jun,119.0,4.2,7.6,15,18.0,80.0
N8,2017,3,Jul-Sep,138.0,4.8,7.4,15,21.0,60.0
N8,2017,4,Oct-Dec,106.0,5.2,7.4,18,18.0,100.0
R1,2017,1,Jan-Mar,105.0,3.6,7.2,0,0.0,40.0
R1,2017,2,Apr-Jun,169.0,5.2,7.1,0,0.0,40.0
R1,2017,3,Jul-Sep,298.0,2.7,7.0,0,0.0,20.0
R1,2017,4,Oct-Dec,303.0,5.5,6.0,0,0.0,20.0
R2,2017,1,Jan-Mar,37.0,4.7,7.4,0,0.0,40.0
R2,2017,2,Apr-Jun,91.0,2.4,7.6,0,0.0,40.0
R2,2017,3,Jul-Sep,61.0,1.5,7.8,0,0.0,40.0
R2,2017,4,Oct-Dec,55.0,4.1,7.1,0,0.0,40.0
R3,2017,1,Jan-Mar,39.0,7.5,7.6,0,0.0,60.0
R3,2017,2,Apr-Jun,41.0,3.2,7.6,0,0.0,40.0
R3,2017,3,Jul-Sep,36.0,2.2,7.6,0,0.0,40.0
R3,2017,4,Oct-Dec,34.0,5.9,7.3,0,0.0,60.0
R4,2017,1,Jan-Mar,118.0,5.0,7.8,0,0.0,60.0
R4,2017,2,Apr-Jun,120.0,4.2,7.6,0,0.0,40.0
R4,2017,3,Jul-Sep,210.0,3.5,7.7,0,0.0,20.0
R4,2017,4,Oct-Dec,290.0,4.4,7.1,0,0.0,20.0
R5,2017,1,Jan-Mar,126.0,6.5,7.9,0,0.0,40.0
R5,2017,2,Apr-Jun,145.0,5.7,8.0,0,0.0,40.0
R5,2017,3,Jul-Sep,169.0,4.8,7.7,0,0.0,20.0
R5,2017,4,Oct-Dec,147.0,4.2,7.5,0,0.0,20.0
R6,2017,1,Jan-Mar,112.0,7.4,7.5,82,12.0,80.0
R6,2017,2,Apr-Jun,119.0,4.7,7.5,15,19.0,80.0
R6,2017,3,Jul-Sep,159.0,5.4,7.6,16,18.0,80.0
R6,2017,4,Oct-Dec,142.0,4.7,7.4,21,19.0,60.0
K1,2018,1,Jan-Mar,47.0,2.4,7.3,0,0.0,40.0
K1,2018,2,Apr-Jun,51.0,1.5,7.3,0,0.0,40.0
K1,2018,3,Jul-Sep,83.0,2.0,7.5,0,0.0,40.0
K1,2018,4,Oct-Dec,57.0,1.0,7.4,0,0.0,40.0
K10,2018,1,Jan-Mar,36.0,2.4,6.9,0,0.0,40.0
K10,2018,2,Apr-Jun,47.0,4.5,7.4,0,0.0,40.0
K10,2018,3,Jul-Sep,81.0,1.0,7.0,0,0.0,40.0
K10,2018,4,Oct-Dec,53.0,1.9,7.3,0,0.0,40.0
K11,2018,1,Jan-Mar,27.0,1.7,6.9,0,0.0,40.0
K11,2018,2,Apr-Jun,33.0,5.1,7.5,0,0.0,60.0
K11,2018,3,Jul-Sep,48.0,1.4,7.4,0,0.0,40.0
K11,2018,4,Oct-Dec,37.0,1.0,7.4,0,0.0,40.0
K14,2018,1,Jan-Mar,173.0,3.1,7.3,0,0.0,20.0
K14,2018,2,Apr-Jun,55.0,3.1,7.4,0,0.0,40.0
K14,2018,3,Jul-Sep,28.0,1.5,7.4,0,0.0,40.0
K14,2018,4,Oct-Dec,30.0,1.5,7.5,0,0.0,40.0
K18,2018,1,Jan-Mar,69.0,2.8,7.1,0,0.0,40.0
K18,2018,2,Apr-Jun,80.0,3.0,7.4,0,0.0,40.0
K18,2018,3,Jul-Sep,76.0,2.1,7.3,0,0.0,40.0
K18,2018,4,Oct-Dec,76.0,0.8,7.3,0,0.0,40.0
K19,2018,1,Jan-Mar,62.0,5.0,7.4,56,21.0,80.0
K19,2018,2,Apr-Jun,69.0,3.1,7.5,32,19.0,80.0
K19,2018,3,Jul-Sep,74.0,2.2,7.4,42,34.0,80.0
K19,2018,4,Oct-Dec,71.0,1.9,7.3,44,39.0,80.0
K21,2018,1,Jan-Mar,56.0,4.2,7.3,42,20.0,80.0
K21,2018,2,Apr-Jun,53.0,4.0,7.4,20,17.0,80.0
K21,2018,3,Jul-Sep,66.0,2.0,7.4,36,30.0,80.0
K21,2018,4,Oct-Dec,50.0,1.9,7.2,83,55.0,60.0
K25,2018,1,Jan-Mar,72.0,0.9,7.2,0,0.0,40.0
K25,2018,2,Apr-Jun,83.0,2.6,7.3,0,0.0,40.0
K25,2018,3,Jul-Sep,75.0,2.0,7.4,0,0.0,40.0
K25,2018,4,Oct-Dec,60.0,2.0,7.4,0,0.0,40.0
K3,2018,1,Jan-Mar,60.0,1.1,7.0,0,0.0,40.0
K3,2018,2,Apr-Jun,60.0,4.3,7.2,0,0.0,40.0
K3,2018,3,Jul-Sep,68.0,0.5,7.6,0,0.0,40.0
K3,2018,4,Oct-Dec,74.0,0.6,7.6,0,0.0,40.0
K4,2018,1,Jan-Mar,47.0,2.5,7.3,0,0.0,40.0
K4,2018,2,Apr-Jun,50.0,3.4,7.4,0,0.0,40.0
K4,2018,3,Jul-Sep,50.0,1.1,7.7,0,0.0,40.0
K4,2018,4,Oct-Dec,55.0,1.5,7.6,0,0.0,40.0
K5,2018,1,Jan-Mar,47.0,2.6,6.9,0,0.0,40.0
K5,2018,2,Apr-Jun,57.0,3.6,7.4,0,0.0,40.0
K5,2018,3,Jul-Sep,57.0,1.4,7.4,0,0.0,40.0
K5,2018,4,Oct-Dec,51.0,0.6,7.4,0,0.0,40.0
K6,2018,1,Jan-Mar,57.0,1.9,7.5,0,0.0,40.0
K6,2018,2,Apr-Jun,65.0,1.3,7.4,0,0.0,40.0
K6,2018,3,Jul-Sep,54.0,0.7,7.6,0,0.0,40.0
K6,2018,4,Oct-Dec,50.0,1.2,7.4,0,0.0,40.0
E17,2018,1,Jan-Mar,197.0,3.2,6.7,0,0.0,20.0
E17,2018,2,Apr-Jun,244.0,1.5,7.1,0,0.0,20.0
E17,2018,3,Jul-Sep,244.0,0.7,7.0,0,0.0,20.0
E17,2018,4,Oct-Dec,188.0,0.8,6.9,0,0.0,20.0
E2,2018,1,Jan-Mar,99.0,3.6,7.3,0,0.0,40.0
E2,2018,2,Apr-Jun,43.0,2.9,7.4,0,0.0,40.0
E2,2018,3,Jul-Sep,150.0,0.6,7.6,0,0.0,20.0
E2,2018,4,Oct-Dec,105.0,0.5,7.1,0,0.0,40.0
E7,2018,1,Jan-Mar,245.0,3.3,7.0,0,0.0,20.0
E7,2018,2,Apr-Jun,332.0,1.9,6.7,0,0.0,20.0
E7,2018,3,Jul-Sep,322.0,1.6,6.8,0,0.0,20.0
E7,2018,4,Oct-Dec,250.0,0.9,6.7,0,0.0,20.0
E8,2018,1,Jan-Mar,110.0,7.6,7.3,0,0.0,60.0
E8,2018,2,Apr-Jun,117.0,2.2,7.4,0,0.0,40.0
E8,2018,3,Jul-Sep,297.0,1.0,7.3,0,0.0,20.0
E8,2018,4,Oct-Dec,252.0,1.5,7.4,0,0.0,20.0
N4,2018,1,Jan-Mar,85.0,5.3,5.2,0,0.0,40.0
N4,2018,2,Apr-Jun,106.0,1.5,5.0,0,0.0,20.0
N4,2018,3,Jul-Sep,110.0,0.8,6.1,0,0.0,20.0
N4,2018,4,Oct-Dec,98.0,1.9,6.0,0,0.0,20.0
N7,2018,1,Jan-Mar,52.0,2.5,6.8,0,0.0,40.0
N7,2018,2,Apr-Jun,155.0,2.3,7.0,0,0.0,20.0
N7,2018,3,Jul-Sep,52.0,0.8,7.1,0,0.0,40.0
N7,2018,4,Oct-Dec,43.0,1.1,6.9,0,0.0,40.0
N8,2018,1,Jan-Mar,95.0,4.5,7.5,15,16.0,80.0
N8,2018,2,Apr-Jun,135.0,3.4,7.5,16,15.0,60.0
N8,2018,3,Jul-Sep,125.0,2.0,7.5,19,20.0,60.0
N8,2018,4,Oct-Dec,107.0,2.7,7.4,28,25.0,80.0
R1,2018,1,Jan-Mar,169.0,3.8,7.0,0,0.0,20.0
R1,2018,2,Apr-Jun,357.0,4.1,4.8,0,0.0,0.0
R1,2018,3,Jul-Sep,333.0,0.9,4.7,0,0.0,0.0
R1,2018,4,Oct-Dec,388.0,2.7,4.9,0,0.0,0.0
R2,2018,1,Jan-Mar,171.0,3.0,6.6,0,0.0,20.0
R2,2018,2,Apr-Jun,55.0,3.0,7.6,0,0.0,40.0
R2,2018,3,Jul-Sep,71.0,1.0,7.5,0,0.0,40.0
R2,2018,4,Oct-Dec,116.0,1.0,6.7,0,0.0,40.0
R3,2018,1,Jan-Mar,120.0,3.5,6.9,0,0.0,40.0
R3,2018,2,Apr-Jun,118.0,3.4,8.4,0,0.0,40.0
R3,2018,3,Jul-Sep,34.0,2.4,7.5,0,0.0,40.0
R3,2018,4,Oct-Dec,30.0,1.7,7.5,0,0.0,40.0
R4,2018,1,Jan-Mar,102.0,3.1,7.2,0,0.0,40.0
R4,2018,2,Apr-Jun,146.0,4.5,7.5,0,0.0,20.0
R4,2018,3,Jul-Sep,205.0,1.2,7.8,0,0.0,20.0
R4,2018,4,Oct-Dec,172.0,1.1,7.1,0,0.0,20.0
R5,2018,1,Jan-Mar,199.0,2.9,7.4,0,0.0,20.0
R5,2018,2,Apr-Jun,172.0,4.9,7.7,0,0.0,20.0
R5,2018,3,Jul-Sep,168.0,2.6,8.0,0,0.0,20.0
R5,2018,4,Oct-Dec,115.0,1.4,7.7,0,0.0,40.0
R6,2018,1,Jan-Mar,111.0,5.2,7.6,27,15.0,100.0
R6,2018,2,Apr-Jun,119.0,3.5,7.5,18,15.0,80.0
R6,2018,3,Jul-Sep,118.0,2.4,7.6,17,16.0,80.0
R6,2018,4,Oct-Dec,109.0,1.4,7.5,45,23.0,80.0
K1,2019,1,Jan-Mar,47.0,1.6,7.2,0,0.0,40.0
K1,2019,2,Apr-Jun,52.0,1.5,7.4,0,0.0,40.0
K1,2019,3,Jul-Sep,57.0,2.6,7.4,0,0.0,40.0
K1,2019,4,Oct-Dec,55.0,1.3,7.5,0,0.0,40.0
K10,2019,1,Jan-Mar,46.0,1.4,7.2,0,0.0,40.0
K10,2019,2,Apr-Jun,52.0,3.5,7.3,0,0.0,40.0
K10,2019,3,Jul-Sep,59.0,2.9,7.3,0,0.0,40.0
K10,2019,4,Oct-Dec,54.0,1.9,7.5,0,0.0,40.0
K11,2019,1,Jan-Mar,43.0,0.5,7.4,0,0.0,40.0
K11,2019,2,Apr-Jun,37.0,1.8,7.5,0,0.0,40.0
K11,2019,3,Jul-Sep,52.0,1.7,7.4,0,0.0,40.0
K11,2019,4,Oct-Dec,32.0,3.6,7.4,0,0.0,40.0
K14,2019,1,Jan-Mar,25.0,1.6,7.5,0,0.0,40.0
K14,2019,2,Apr-Jun,42.0,2.2,7.4,0,0.0,40.0
K14,2019,3,Jul-Sep,20.0,2.1,7.3,0,0.0,40.0
K14,2019,4,Oct-Dec,38.0,2.9,7.3,0,0.0,40.0
K18,2019,1,Jan-Mar,67.0,1.5,7.2,0,0.0,40.0
K18,2019,2,Apr-Jun,74.0,2.6,7.3,0,0.0,40.0
K18,2019,3,Jul-Sep,90.0,2.5,7.5,0,0.0,40.0
K18,2019,4,Oct-Dec,82.0,2.4,7.5,0,0.0,40.0
K19,2019,1,Jan-Mar,65.0,1.4,7.3,84,27.0,60.0
K19,2019,2,Apr-Jun,74.0,3.7,7.4,104,36.0,60.0
K19,2019,3,Jul-Sep,87.0,3.6,7.6,39,43.0,80.0
K19,2019,4,Oct-Dec,80.0,2.5,7.5,47,44.0,80.0
K21,2019,1,Jan-Mar,47.0,1.5,7.2,131,31.0,60.0
K21,2019,2,Apr-Jun,54.0,3.4,7.4,73,30.0,60.0
K21,2019,3,Jul-Sep,57.0,4.4,7.5,71,46.0,60.0
K21,2019,4,Oct-Dec,56.0,3.4,7.5,168,43.0,60.0
K25,2019,1,Jan-Mar,68.0,1.3,7.3,0,0.0,40.0
K25,2019,2,Apr-Jun,75.0,2.4,7.3,0,0.0,40.0
K25,2019,3,Jul-Sep,85.0,3.6,7.5,0,0.0,40.0
K25,2019,4,Oct-Dec,81.0,4.3,7.5,0,0.0,40.0
K3,2019,1,Jan-Mar,59.0,0.7,7.3,0,0.0,40.0
K3,2019,2,Apr-Jun,64.0,1.2,7.6,0,0.0,40.0
K3,2019,3,Jul-Sep,73.0,2.1,7.5,0,0.0,40.0
K3,2019,4,Oct-Dec,66.0,1.7,7.6,0,0.0,40.0
K4,2019,1,Jan-Mar,46.0,1.7,7.5,0,0.0,40.0
K4,2019,2,Apr-Jun,57.0,1.5,7.5,0,0.0,40.0
K4,2019,3,Jul-Sep,55.0,3.9,7.5,0,0.0,40.0
K4,2019,4,Oct-Dec,62.0,2.9,7.5,0,0.0,40.0
K5,2019,1,Jan-Mar,45.0,0.5,7.2,0,0.0,40.0
K5,2019,2,Apr-Jun,54.0,0.9,7.4,0,0.0,40.0
K5,2019,3,Jul-Sep,52.0,3.9,7.5,0,0.0,40.0
K5,2019,4,Oct-Dec,63.0,2.7,7.5,0,0.0,40.0
K6,2019,1,Jan-Mar,40.0,1.3,7.4,0,0.0,40.0
K6,2019,2,Apr-Jun,51.0,2.2,7.5,0,0.0,40.0
K6,2019,3,Jul-Sep,56.0,1.9,7.7,0,0.0,40.0
K6,2019,4,Oct-Dec,64.0,2.3,7.5,0,0.0,40.0
E17,2019,1,Jan-Mar,239.0,1.3,7.2,0,0.0,20.0
E17,2019,2,Apr-Jun,239.0,1.1,7.1,0,0.0,20.0
E17,2019,3,Jul-Sep,285.0,2.3,7.2,0,0.0,20.0
E17,2019,4,Oct-Dec,263.0,1.0,7.3,0,0.0,20.0
E2,2019,1,Jan-Mar,30.0,2.5,7.4,0,0.0,40.0
E2,2019,2,Apr-Jun,114.0,2.3,7.2,0,0.0,40.0
E2,2019,3,Jul-Sep,31.0,4.4,7.5,0,0.0,40.0
E2,2019,4,Oct-Dec,28.0,2.6,7.6,0,0.0,40.0
E7,2019,1,Jan-Mar,233.0,2.0,6.1,0,0.0,0.0
E7,2019,2,Apr-Jun,280.0,2.3,6.7,0,0.0,20.0
E7,2019,3,Jul-Sep,302.0,3.5,6.7,0,0.0,20.0
E7,2019,4,Oct-Dec,277.0,3.6,6.7,0,0.0,20.0
E8,2019,1,Jan-Mar,70.0,1.3,7.5,0,0.0,40.0
E8,2019,2,Apr-Jun,122.0,2.3,7.3,0,0.0,20.0
E8,2019,3,Jul-Sep,227.0,3.9,7.1,0,0.0,20.0
E8,2019,4,Oct-Dec,133.0,2.6,7.4,0,0.0,20.0
N4,2019,1,Jan-Mar,61.0,0.8,6.0,0,0.0,20.0
N4,2019,2,Apr-Jun,94.0,3.3,5.7,0,0.0,20.0
N4,2019,3,Jul-Sep,92.0,4.6,6.7,0,0.0,40.0
N4,2019,4,Oct-Dec,99.0,4.3,5.6,0,0.0,20.0
N7,2019,1,Jan-Mar,48.0,1.2,7.1,0,0.0,40.0
N7,2019,2,Apr-Jun,59.0,2.7,7.3,0,0.0,40.0
N7,2019,3,Jul-Sep,53.0,2.6,7.4,0,0.0,40.0
N7,2019,4,Oct-Dec,53.0,2.3,7.3,0,0.0,40.0
N8,2019,1,Jan-Mar,89.0,1.7,7.5,24,16.0,80.0
N8,2019,2,Apr-Jun,114.0,4.2,7.6,20,18.0,80.0
N8,2019,3,Jul-Sep,136.0,4.5,7.6,19,27.0,60.0
N8,2019,4,Oct-Dec,126.0,3.6,7.6,29,32.0,60.0
R1,2019,1,Jan-Mar,265.0,1.4,5.2,0,0.0,0.0
R1,2019,2,Apr-Jun,129.0,3.6,7.0,0,0.0,20.0
R1,2019,3,Jul-Sep,145.0,3.6,7.4,0,0.0,20.0
R1,2019,4,Oct-Dec,212.0,3.4,7.3,0,0.0,20.0
R2,2019,1,Jan-Mar,43.0,1.6,7.8,0,0.0,40.0
R2,2019,2,Apr-Jun,79.0,1.5,7.5,0,0.0,40.0
R2,2019,3,Jul-Sep,57.0,4.4,7.9,0,0.0,40.0
R2,2019,4,Oct-Dec,108.0,3.7,7.2,0,0.0,40.0
R3,2019,1,Jan-Mar,52.0,1.8,7.9,0,0.0,40.0
R3,2019,2,Apr-Jun,45.0,3.7,7.8,0,0.0,40.0
R3,2019,3,Jul-Sep,28.0,5.0,7.7,0,0.0,60.0
R3,2019,4,Oct-Dec,28.0,3.6,7.6,0,0.0,40.0
R4,2019,1,Jan-Mar,143.0,2.1,7.9,0,0.0,20.0
R4,2019,2,Apr-Jun,133.0,4.4,7.8,0,0.0,20.0
R4,2019,3,Jul-Sep,163.0,6.8,8.0,0,0.0,40.0
R4,2019,4,Oct-Dec,192.0,2.9,7.8,0,0.0,20.0
R5,2019,1,Jan-Mar,94.0,1.2,7.6,0,0.0,40.0
R5,2019,2,Apr-Jun,115.0,3.6,7.9,0,0.0,40.0
R5,2019,3,Jul-Sep,121.0,4.1,7.9,0,0.0,20.0
R5,2019,4,Oct-Dec,113.0,4.7,7.8,0,0.0,40.0
R6,2019,1,Jan-Mar,85.0,2.2,7.7,67,22.0,60.0
R6,2019,2,Apr-Jun,115.0,4.7,7.6,19,20.0,80.0
R6,2019,3,Jul-Sep,132.0,3.4,7.6,17,24.0,60.0
R6,2019,4,Oct-Dec,127.0,3.1,7.6,35,31.0,60.0
K1,2020,1,Jan-Mar,51.0,4.1,7.5,0,0.0,40.0
K1,2020,2,Apr-Jun,0.0,0.0,0.0,0,0.0,0.0
K1,2020,3,Jul-Sep,56.0,3.6,7.5,0,0.0,40.0
K1,2020,4,Oct-Dec,53.0,1.0,7.2,0,0.0,40.0
K10,2020,1,Jan-Mar,50.0,2.0,7.4,0,0.0,40.0
K10,2020,2,Apr-Jun,0.0,0.0,0.0,0,0.0,0.0
K10,2020,3,Jul-Sep,56.0,2.2,7.4,0,0.0,40.0
K10,2020,4,Oct-Dec,52.0,1.6,7.2,0,0.0,40.0
K11,2020,1,Jan-Mar,31.0,5.0,7.4,0,0.0,60.0
K11,2020,2,Apr-Jun,0.0,0.0,0.0,0,0.0,0.0
K11,2020,3,Jul-Sep,43.0,6.9,8.0,0,0.0,60.0
K11,2020,4,Oct-Dec,44.0,1.0,7.3,0,0.0,40.0
K14,2020,1,Jan-Mar,29.0,4.1,7.6,0,0.0,40.0
K14,2020,2,Apr-Jun,0.0,0.0,0.0,0,0.0,0.0
K14,2020,3,Jul-Sep,38.0,2.7,7.5,0,0.0,40.0
K14,2020,4,Oct-Dec,46.0,1.2,7.1,0,0.0,40.0
K18,2020,1,Jan-Mar,72.0,1.9,7.6,0,0.0,40.0
K18,2020,2,Apr-Jun,0.0,0.0,0.0,0,0.0,0.0
K18,2020,3,Jul-Sep,82.0,3.1,7.4,0,0.0,40.0
K18,2020,4,Oct-Dec,65.0,2.3,7.4,0,0.0,40.0
K19,2020,1,Jan-Mar,70.0,2.2,7.5,116,39.0,60.0
K19,2020,2,Apr-Jun,73.0,2.3,7.5,71,29.0,60.0
K19,2020,3,Jul-Sep,83.0,1.6,7.5,54,34.0,80.0
K19,2020,4,Oct-Dec,76.0,1.4,7.4,125,23.0,60.0
K21,2020,1,Jan-Mar,52.0,2.9,7.6,89,35.0,60.0
K21,2020,2,Apr-Jun,0.0,0.0,0.0,0,0.0,0.0
K21,2020,3,Jul-Sep,56.0,2.7,7.4,44,37.0,80.0
K21,2020,4,Oct-Dec,57.0,2.1,7.3,113,22.0,60.0
K25,2020,1,Jan-Mar,70.0,2.2,7.5,0,0.0,40.0
K25,2020,2,Apr-Jun,0.0,0.0,0.0,0,0.0,0.0
K25,2020,3,Jul-Sep,80.0,2.3,7.5,0,0.0,40.0
K25,2020,4,Oct-Dec,64.0,1.7,7.2,0,0.0,40.0
