,sample_pt_desc,year,qtr,quarter,cod,conductivity,e_coli,pH,nitrate,phosphate,physical_compliance_percentage,chemical_compliance_percentage,bacteriological_compliance_percentage,biological_compliance_percentage,overall_compliance_percentage,river_id
434,Stream @ Witwatersrand Gold Mine,2017,3,Jul-Sep,0.0,120.0,0.0,7.4,0.28,0.63,40.0,81.82,0.0,0.0,30.46,3
435,Stream @ Witwatersrand Gold Mine,2017,4,Oct-Dec,0.0,26.0,0.0,7.3,0.83,0.2,60.0,100.0,0.0,0.0,40.0,3
436,Elsburgspruit @ Elsburg Town ,2017,1,Jan-Mar,0.0,131.0,0.0,7.3,0.87,0.13,40.0,81.82,0.0,0.0,30.46,3
437,Elsburgspruit @ Elsburg Town ,2017,2,Apr-Jun,0.0,293.0,0.0,6.8,0.53,0.2,20.0,81.82,0.0,0.0,25.46,3
438,Elsburgspruit @ Elsburg Town ,2017,3,Jul-Sep,0.0,312.0,0.0,6.6,0.24,0.41,20.0,63.64,0.0,0.0,20.91,3
439,Elsburgspruit @ Elsburg Town ,2017,4,Oct-Dec,0.0,183.0,0.0,7.0,1.01,0.2,20.0,90.91,0.0,0.0,27.73,3
440,Stream @ Elspark ,2017,1,Jan-Mar,0.0,60.0,0.0,7.5,0.8,0.13,60.0,100.0,0.0,0.0,40.0,3
441,Stream @ Elspark ,2017,2,Apr-Jun,0.0,118.0,0.0,6.8,1.82,0.2,60.0,90.91,0.0,0.0,37.73,3
442,Stream @ Elspark ,2017,3,Jul-Sep,0.0,217.0,0.0,7.1,0.89,0.2,20.0,81.82,0.0,0.0,25.46,3
443,Stream @ Elspark ,2017,4,Oct-Dec,0.0,86.0,0.0,7.5,1.23,0.2,60.0,100.0,0.0,0.0,40.0,3
444,Natalspruit from Simmer and Jack Mine,2017,1,Jan-Mar,0.0,84.0,0.0,6.6,0.99,0.13,40.0,81.82,0.0,0.0,30.46,3
445,Natalspruit from Simmer and Jack Mine,2017,2,Apr-Jun,0.0,97.0,0.0,6.2,0.98,0.2,20.0,81.82,0.0,0.0,25.46,3
446,Natalspruit from Simmer and Jack Mine,2017,3,Jul-Sep,0.0,96.0,0.0,6.4,0.46,0.2,20.0,81.82,0.0,0.0,25.46,3
447,Natalspruit from Simmer and Jack Mine,2017,4,Oct-Dec,0.0,79.0,0.0,5.7,0.79,0.2,20.0,72.73,0.0,0.0,23.18,3
448,Natalspruit @ Alrode ,2017,1,Jan-Mar,0.0,52.0,20152.0,7.1,0.9,0.14,60.0,90.91,0.0,0.0,37.73,3
449,Natalspruit @ Alrode ,2017,2,Apr-Jun,0.0,57.0,48501.0,7.2,0.91,0.2,40.0,90.91,0.0,0.0,32.73,3
450,Natalspruit @ Alrode ,2017,3,Jul-Sep,0.0,63.0,18373.0,6.7,0.62,0.33,40.0,90.91,0.0,0.0,32.73,3
451,Natalspruit @ Alrode ,2017,4,Oct-Dec,0.0,49.0,49712.0,6.9,0.63,0.2,40.0,90.91,0.0,0.0,32.73,3
452,Natalspruit @ Heidelberg Road ,2017,1,Jan-Mar,14.0,100.0,19234.0,7.6,2.32,0.16,80.0,100.0,0.0,100.0,70.0,3
453,Natalspruit @ Heidelberg Road ,2017,2,Apr-Jun,18.0,119.0,1942.0,7.6,2.8,0.19,80.0,100.0,0.0,100.0,70.0,3
454,Natalspruit @ Heidelberg Road ,2017,3,Jul-Sep,21.0,138.0,5546.0,7.4,3.27,0.21,60.0,100.0,0.0,100.0,65.0,3
455,Natalspruit @ Heidelberg Road ,2017,4,Oct-Dec,18.0,106.0,18589.0,7.4,3.29,0.2,100.0,100.0,0.0,100.0,75.0,3
456,Rietspruit from Sallies ,2017,1,Jan-Mar,0.0,105.0,0.0,7.2,0.59,0.2,40.0,100.0,0.0,0.0,35.0,3
457,Rietspruit from Sallies ,2017,2,Apr-Jun,0.0,169.0,0.0,7.1,2.67,0.2,40.0,81.82,0.0,0.0,30.46,3
458,Rietspruit from Sallies ,2017,3,Jul-Sep,0.0,298.0,0.0,7.0,2.69,0.2,20.0,72.73,0.0,0.0,23.18,3
459,Rietspruit from Sallies ,2017,4,Oct-Dec,0.0,303.0,0.0,6.0,6.65,0.2,20.0,63.64,0.0,0.0,20.91,3
460,Withokspruit Tributary ,2017,1,Jan-Mar,0.0,37.0,0.0,7.4,0.37,0.15,40.0,100.0,0.0,0.0,35.0,3
461,Withokspruit Tributary ,2017,2,Apr-Jun,0.0,91.0,0.0,7.6,0.94,0.2,40.0,100.0,0.0,0.0,35.0,3
462,Withokspruit Tributary ,2017,3,Jul-Sep,0.0,61.0,0.0,7.8,0.81,0.2,40.0,90.91,0.0,0.0,32.73,3
463,Withokspruit Tributary ,2017,4,Oct-Dec,0.0,55.0,0.0,7.1,0.58,0.2,40.0,90.91,0.0,0.0,32.73,3
464,Tributary @ Van Dyk Consolidated,2017,1,Jan-Mar,0.0,39.0,0.0,7.6,0.19,0.15,60.0,100.0,0.0,0.0,40.0,3
465,Tributary @ Van Dyk Consolidated,2017,2,Apr-Jun,0.0,41.0,0.0,7.6,0.26,0.2,40.0,100.0,0.0,0.0,35.0,3
466,Tributary @ Van Dyk Consolidated,2017,3,Jul-Sep,0.0,36.0,0.0,7.6,0.42,0.2,40.0,100.0,0.0,0.0,35.0,3
467,Tributary @ Van Dyk Consolidated,2017,4,Oct-Dec,0.0,34.0,0.0,7.3,0.44,0.2,60.0,100.0,0.0,0.0,40.0,3
468,Rietspruit @ Vosloorus ,2017,1,Jan-Mar,0.0,118.0,0.0,7.8,0.47,0.15,60.0,100.0,0.0,0.0,40.0,3
469,Rietspruit @ Vosloorus ,2017,2,Apr-Jun,0.0,120.0,0.0,7.6,0.45,0.2,40.0,100.0,0.0,0.0,35.0,3
470,Rietspruit @ Vosloorus ,2017,3,Jul-Sep,0.0,210.0,0.0,7.7,1.59,0.2,20.0,81.82,0.0,0.0,25.46,3
471,Rietspruit @ Vosloorus ,2017,4,Oct-Dec,0.0,290.0,0.0,7.1,3.47,0.2,20.0,81.82,0.0,0.0,25.46,3
472,Rietspruit @ Hardmans Farm ,2017,1,Jan-Mar,0.0,126.0,25727.0,7.9,0.89,0.16,40.0,100.0,0.0,0.0,35.0,3
473,Rietspruit @ Hardmans Farm ,2017,2,Apr-Jun,0.0,145.0,28485.0,8.0,1.55,0.2,40.0,90.91,0.0,0.0,32.73,3
474,Rietspruit @ Hardmans Farm ,2017,3,Jul-Sep,0.0,169.0,8655.0,7.7,1.81,0.2,20.0,90.91,0.0,0.0,27.73,3
475,Rietspruit @ Hardmans Farm ,2017,4,Oct-Dec,0.0,147.0,159361.0,7.5,1.09,0.22,20.0,100.0,0.0,0.0,30.0,3
476,Rietspruit Weir @ Luttig's Farm ,2017,1,Jan-Mar,12.0,112.0,4304.0,7.5,1.92,0.16,80.0,100.0,0.0,100.0,70.0,3
477,Rietspruit Weir @ Luttig's Farm ,2017,2,Apr-Jun,19.0,119.0,1690.0,7.5,3.91,0.19,80.0,90.91,0.0,100.0,67.73,3
478,Rietspruit Weir @ Luttig's Farm ,2017,3,Jul-Sep,18.0,159.0,3071.0,7.6,3.73,0.2,80.0,100.0,0.0,100.0,70.0,3
479,Rietspruit Weir @ Luttig's Farm ,2017,4,Oct-Dec,19.0,142.0,8988.0,7.4,3.72,0.2,60.0,90.91,0.0,100.0,62.73,3
480,Klip River @ Lido Hotel ,2018,1,Jan-Mar,0.0,47.0,0.0,7.3,2.9,0.58,40.0,100.0,0.0,0.0,35.0,3
481,Klip River @ Lido Hotel ,2018,2,Apr-Jun,0.0,51.0,0.0,7.3,4.65,0.39,40.0,100.0,0.0,0.0,35.0,3
482,Klip River @ Lido Hotel ,2018,3,Jul-Sep,0.0,83.0,0.0,7.5,3.83,0.58,40.0,100.0,0.0,0.0,35.0,3
483,Klip River @ Lido Hotel ,2018,4,Oct-Dec,0.0,57.0,0.0,7.4,2.38,1.05,40.0,90.91,0.0,0.0,32.73,3
484,Klip River @ Everite ,2018,1,Jan-Mar,0.0,36.0,0.0,6.9,4.05,0.62,40.0,90.91,0.0,0.0,32.73,3
485,Klip River @ Everite ,2018,2,Apr-Jun,0.0,47.0,0.0,7.4,4.85,0.38,40.0,100.0,0.0,0.0,35.0,3
486,Klip River @ Everite ,2018,3,Jul-Sep,0.0,81.0,0.0,7.0,4.7,0.63,40.0,90.91,0.0,0.0,32.73,3
487,Klip River @ Everite ,2018,4,Oct-Dec,0.0,53.0,0.0,7.3,3.94,0.62,40.0,90.91,0.0,0.0,32.73,3
488,Klip River from Roodepoort @ R41 Bridge,2018,1,Jan-Mar,0.0,27.0,0.0,6.9,0.77,0.2,40.0,100.0,0.0,0.0,35.0,3
489,Klip River from Roodepoort @ R41 Bridge,2018,2,Apr-Jun,0.0,33.0,0.0,7.5,3.5,0.2,60.0,100.0,0.0,0.0,40.0,3
490,Klip River from Roodepoort @ R41 Bridge,2018,3,Jul-Sep,0.0,48.0,0.0,7.4,3.4,0.17,40.0,100.0,0.0,0.0,35.0,3
491,Klip River from Roodepoort @ R41 Bridge,2018,4,Oct-Dec,0.0,37.0,0.0,7.4,0.59,0.29,40.0,90.91,0.0,0.0,32.73,3
492,Klip River from Witpoortjie @ R41 Bridge,2018,1,Jan-Mar,0.0,173.0,0.0,7.3,0.39,0.21,20.0,100.0,0.0,0.0,30.0,3
493,Klip River from Witpoortjie @ R41 Bridge,2018,2,Apr-Jun,0.0,55.0,0.0,7.4,0.44,0.18,40.0,100.0,0.0,0.0,35.0,3
494,Klip River from Witpoortjie @ R41 Bridge,2018,3,Jul-Sep,0.0,28.0,0.0,7.4,0.89,0.18,40.0,100.0,0.0,0.0,35.0,3
495,Klip River from Witpoortjie @ R41 Bridge,2018,4,Oct-Dec,0.0,30.0,0.0,7.5,0.5,0.49,40.0,100.0,0.0,0.0,35.0,3
496,Klip River Weir @ Henley-On- Klip,2018,1,Jan-Mar,0.0,69.0,5632.0,7.1,3.8,0.49,40.0,100.0,0.0,0.0,35.0,3
497,Klip River Weir @ Henley-On- Klip,2018,2,Apr-Jun,0.0,80.0,8169.0,7.4,4.38,0.51,40.0,100.0,0.0,0.0,35.0,3
498,Klip River Weir @ Henley-On- Klip,2018,3,Jul-Sep,0.0,76.0,4723.0,7.3,4.45,0.66,40.0,90.91,0.0,0.0,32.73,3
499,Klip River Weir @ Henley-On- Klip,2018,4,Oct-Dec,0.0,76.0,32485.0,7.3,3.61,0.65,40.0,90.91,0.0,0.0,32.73,3
500,Klip River Weir @ Zwartkopjes Farm,2018,1,Jan-Mar,20.0,56.0,8919.0,7.3,3.69,0.59,80.0,100.0,0.0,100.0,70.0,3
501,Klip River Weir @ Zwartkopjes Farm,2018,2,Apr-Jun,17.0,53.0,1719.0,7.4,5.0,0.42,80.0,100.0,0.0,100.0,70.0,3
502,Klip River Weir @ Zwartkopjes Farm,2018,3,Jul-Sep,30.0,66.0,2143.0,7.4,4.2,0.62,80.0,90.91,0.0,100.0,67.73,3
503,Klip River Weir @ Zwartkopjes Farm,2018,4,Oct-Dec,55.0,50.0,11255.0,7.2,4.37,0.83,60.0,90.91,0.0,100.0,62.73,3
504,Klip River downstream of Rietspruit Confluence,2018,1,Jan-Mar,0.0,72.0,11035.0,7.2,3.6,0.62,40.0,90.91,0.0,0.0,32.73,3
505,Klip River downstream of Rietspruit Confluence,2018,2,Apr-Jun,0.0,83.0,6109.0,7.3,4.45,0.52,40.0,100.0,0.0,0.0,35.0,3
506,Klip River downstream of Rietspruit Confluence,2018,3,Jul-Sep,0.0,75.0,3430.0,7.4,4.13,0.7,40.0,90.91,0.0,0.0,32.73,3
507,Klip River downstream of Rietspruit Confluence,2018,4,Oct-Dec,0.0,60.0,21003.0,7.4,4.3,0.73,40.0,90.91,0.0,0.0,32.73,3
508,Harringtonspruit @ Nancefield Industrial Area,2018,1,Jan-Mar,0.0,60.0,0.0,7.0,1.8,2.55,40.0,81.82,0.0,0.0,30.46,3
509,Harringtonspruit @ Nancefield Industrial Area,2018,2,Apr-Jun,0.0,60.0,0.0,7.2,4.7,1.75,40.0,81.82,0.0,0.0,30.46,3
510,Harringtonspruit @ Nancefield Industrial Area,2018,3,Jul-Sep,0.0,68.0,0.0,7.6,0.99,1.83,40.0,81.82,0.0,0.0,30.46,3
511,Harringtonspruit @ Nancefield Industrial Area,2018,4,Oct-Dec,0.0,74.0,0.0,7.6,2.91,3.7,40.0,81.82,0.0,0.0,30.46,3
512,Klip River @ Olifantsvlei Sewage Works,2018,1,Jan-Mar,0.0,47.0,71330.0,7.3,1.95,0.31,40.0,100.0,0.0,0.0,35.0,3
513,Klip River @ Olifantsvlei Sewage Works,2018,2,Apr-Jun,0.0,50.0,767.0,7.4,2.65,0.2,40.0,100.0,0.0,0.0,35.0,3
514,Klip River @ Olifantsvlei Sewage Works,2018,3,Jul-Sep,0.0,50.0,986.0,7.7,2.43,0.17,40.0,100.0,0.0,0.0,35.0,3
515,Klip River @ Olifantsvlei Sewage Works,2018,4,Oct-Dec,0.0,55.0,30935.0,7.6,3.5,0.37,40.0,100.0,0.0,0.0,35.0,3
516,Klipspruit @ Kliptown ,2018,1,Jan-Mar,0.0,47.0,0.0,6.9,0.81,0.2,40.0,90.91,0.0,0.0,32.73,3
517,Klipspruit @ Kliptown ,2018,2,Apr-Jun,0.0,57.0,0.0,7.4,0.62,0.2,40.0,90.91,0.0,0.0,32.73,3
518,Klipspruit @ Kliptown ,2018,3,Jul-Sep,0.0,57.0,0.0,7.4,0.44,0.25,40.0,81.82,0.0,0.0,30.46,3
519,Klipspruit @ Kliptown ,2018,4,Oct-Dec,0.0,51.0,0.0,7.4,4.92,0.57,40.0,90.91,0.0,0.0,32.73,3
520,Klip River @ Soweto N12 Highway,2018,1,Jan-Mar,0.0,57.0,0.0,7.5,1.24,0.35,40.0,100.0,0.0,0.0,35.0,3
521,Klip River @ Soweto N12 Highway,2018,2,Apr-Jun,0.0,65.0,0.0,7.4,1.88,0.45,40.0,100.0,0.0,0.0,35.0,3
522,Klip River @ Soweto N12 Highway,2018,3,Jul-Sep,0.0,54.0,0.0,7.6,2.03,0.5,40.0,100.0,0.0,0.0,35.0,3
523,Klip River @ Soweto N12 Highway,2018,4,Oct-Dec,0.0,50.0,0.0,7.4,1.79,0.44,40.0,100.0,0.0,0.0,35.0,3
524,Elsburgspruit @ Heidelberg Road,2018,1,Jan-Mar,0.0,197.0,12491.0,6.7,0.76,0.2,20.0,90.91,0.0,0.0,27.73,3
525,Elsburgspruit @ Heidelberg Road,2018,2,Apr-Jun,0.0,244.0,2730.0,7.1,2.73,0.18,20.0,72.73,0.0,0.0,23.18,3
526,Elsburgspruit @ Heidelberg Road,2018,3,Jul-Sep,0.0,244.0,1711.0,7.0,2.24,0.19,20.0,72.73,0.0,0.0,23.18,3
527,Elsburgspruit @ Heidelberg Road,2018,4,Oct-Dec,0.0,188.0,31138.0,6.9,1.28,0.25,20.0,81.82,0.0,0.0,25.46,3
528,Stream @ Witwatersrand Gold Mine,2018,1,Jan-Mar,0.0,99.0,0.0,7.3,0.97,0.2,40.0,100.0,0.0,0.0,35.0,3
529,Stream @ Witwatersrand Gold Mine,2018,2,Apr-Jun,0.0,43.0,0.0,7.4,1.3,0.2,40.0,100.0,0.0,0.0,35.0,3
530,Stream @ Witwatersrand Gold Mine,2018,3,Jul-Sep,0.0,150.0,0.0,7.6,0.65,0.23,20.0,100.0,0.0,0.0,30.0,3
531,Stream @ Witwatersrand Gold Mine,2018,4,Oct-Dec,0.0,105.0,0.0,7.1,1.21,0.25,40.0,81.82,0.0,0.0,30.46,3
532,Elsburgspruit @ Elsburg Town ,2018,1,Jan-Mar,0.0,245.0,0.0,7.0,0.94,0.2,20.0,81.82,0.0,0.0,25.46,3
533,Elsburgspruit @ Elsburg Town ,2018,2,Apr-Jun,0.0,332.0,0.0,6.7,2.87,0.17,20.0,72.73,0.0,0.0,23.18,3
534,Elsburgspruit @ Elsburg Town ,2018,3,Jul-Sep,0.0,322.0,0.0,6.8,2.57,0.17,20.0,63.64,0.0,0.0,20.91,3
535,Elsburgspruit @ Elsburg Town ,2018,4,Oct-Dec,0.0,250.0,0.0,6.7,1.07,0.25,20.0,72.73,0.0,0.0,23.18,3
536,Stream @ Elspark ,2018,1,Jan-Mar,0.0,110.0,0.0,7.3,0.81,0.2,60.0,100.0,0.0,0.0,40.0,3
537,Stream @ Elspark ,2018,2,Apr-Jun,0.0,117.0,0.0,7.4,0.5,0.17,40.0,100.0,0.0,0.0,35.0,3
538,Stream @ Elspark ,2018,3,Jul-Sep,0.0,297.0,0.0,7.3,0.84,0.17,20.0,72.73,0.0,0.0,23.18,3
539,Stream @ Elspark ,2018,4,Oct-Dec,0.0,252.0,0.0,7.4,0.5,0.25,20.0,72.73,0.0,0.0,23.18,3
540,Natalspruit from Simmer and Jack Mine,2018,1,Jan-Mar,0.0,85.0,0.0,5.2,1.2,0.2,40.0,90.91,0.0,0.0,32.73,3
541,Natalspruit from Simmer and Jack Mine,2018,2,Apr-Jun,0.0,106.0,0.0,5.0,1.14,0.17,20.0,72.73,0.0,0.0,23.18,3
542,Natalspruit from Simmer and Jack Mine,2018,3,Jul-Sep,0.0,110.0,0.0,6.1,1.42,0.17,20.0,81.82,0.0,0.0,25.46,3
543,Natalspruit from Simmer and Jack Mine,2018,4,Oct-Dec,0.0,98.0,0.0,6.0,0.7,0.25,20.0,90.91,0.0,0.0,27.73,3
544,Natalspruit @ Alrode ,2018,1,Jan-Mar,0.0,52.0,22743.0,6.8,0.61,0.2,40.0,100.0,0.0,0.0,35.0,3
545,Natalspruit @ Alrode ,2018,2,Apr-Jun,0.0,155.0,47116.0,7.0,0.61,0.18,20.0,100.0,0.0,0.0,30.0,3
546,Natalspruit @ Alrode ,2018,3,Jul-Sep,0.0,52.0,10729.0,7.1,0.56,0.19,40.0,90.91,0.0,0.0,32.73,3
547,Natalspruit @ Alrode ,2018,4,Oct-Dec,0.0,43.0,12422.0,6.9,0.7,0.25,40.0,100.0,0.0,0.0,35.0,3
548,Natalspruit @ Heidelberg Road ,2018,1,Jan-Mar,16.0,95.0,3517.0,7.5,2.93,0.79,80.0,90.91,0.0,100.0,67.73,3
549,Natalspruit @ Heidelberg Road ,2018,2,Apr-Jun,15.0,135.0,2325.0,7.5,3.69,0.21,60.0,90.91,0.0,100.0,62.73,3
550,Natalspruit @ Heidelberg Road ,2018,3,Jul-Sep,20.0,125.0,10812.0,7.5,2.95,0.26,60.0,90.91,0.0,100.0,62.73,3
551,Natalspruit @ Heidelberg Road ,2018,4,Oct-Dec,25.0,107.0,22096.0,7.4,3.93,0.28,80.0,100.0,0.0,100.0,70.0,3
552,Rietspruit from Sallies ,2018,1,Jan-Mar,0.0,169.0,0.0,7.0,3.08,0.2,20.0,72.73,0.0,0.0,23.18,3
553,Rietspruit from Sallies ,2018,2,Apr-Jun,0.0,357.0,0.0,4.8,2.48,0.2,0.0,54.55,0.0,0.0,13.64,3
554,Rietspruit from Sallies ,2018,3,Jul-Sep,0.0,333.0,0.0,4.7,3.83,0.22,0.0,63.64,0.0,0.0,15.91,3
555,Rietspruit from Sallies ,2018,4,Oct-Dec,0.0,388.0,0.0,4.9,3.9,0.25,0.0,45.45,0.0,0.0,11.36,3
556,Withokspruit Tributary ,2018,1,Jan-Mar,0.0,171.0,0.0,6.6,1.43,0.2,20.0,90.91,0.0,0.0,27.73,3
557,Withokspruit Tributary ,2018,2,Apr-Jun,0.0,55.0,0.0,7.6,1.59,0.2,40.0,100.0,0.0,0.0,35.0,3
558,Withokspruit Tributary ,2018,3,Jul-Sep,0.0,71.0,0.0,7.5,3.0,0.22,40.0,90.91,0.0,0.0,32.73,3
559,Withokspruit Tributary ,2018,4,Oct-Dec,0.0,116.0,0.0,6.7,2.2,0.25,40.0,90.91,0.0,0.0,32.73,3
560,Tributary @ Van Dyk Consolidated,2018,1,Jan-Mar,0.0,120.0,0.0,6.9,0.47,0.2,40.0,100.0,0.0,0.0,35.0,3
561,Tributary @ Van Dyk Consolidated,2018,2,Apr-Jun,0.0,118.0,0.0,8.4,0.5,0.2,40.0,100.0,0.0,0.0,35.0,3
562,Tributary @ Van Dyk Consolidated,2018,3,Jul-Sep,0.0,34.0,0.0,7.5,0.51,0.22,40.0,100.0,0.0,0.0,35.0,3
563,Tributary @ Van Dyk Consolidated,2018,4,Oct-Dec,0.0,30.0,0.0,7.5,0.77,0.25,40.0,100.0,0.0,0.0,35.0,3
564,Rietspruit @ Vosloorus ,2018,1,Jan-Mar,0.0,102.0,0.0,7.2,2.53,0.2,40.0,81.82,0.0,0.0,30.46,3
565,Rietspruit @ Vosloorus ,2018,2,Apr-Jun,0.0,146.0,0.0,7.5,5.8,0.2,20.0,81.82,0.0,0.0,25.46,3
566,Rietspruit @ Vosloorus ,2018,3,Jul-Sep,0.0,205.0,0.0,7.8,1.41,0.22,20.0,81.82,0.0,0.0,25.46,3
567,Rietspruit @ Vosloorus ,2018,4,Oct-Dec,0.0,172.0,0.0,7.1,0.5,0.25,20.0,81.82,0.0,0.0,25.46,3
568,Rietspruit @ Hardmans Farm ,2018,1,Jan-Mar,0.0,199.0,30047.0,7.4,2.4,0.18,20.0,90.91,0.0,0.0,27.73,3
569,Rietspruit @ Hardmans Farm ,2018,2,Apr-Jun,0.0,172.0,7738.0,7.7,3.16,0.18,20.0,90.91,0.0,0.0,27.73,3
570,Rietspruit @ Hardmans Farm ,2018,3,Jul-Sep,0.0,168.0,11164.0,8.0,2.08,0.18,20.0,90.91,0.0,0.0,27.73,3
571,Rietspruit @ Hardmans Farm ,2018,4,Oct-Dec,0.0,115.0,126277.0,7.7,1.34,0.28,40.0,100.0,0.0,0.0,35.0,3
572,Rietspruit Weir @ Luttig's Farm ,2018,1,Jan-Mar,15.0,111.0,4805.0,7.6,3.56,0.2,100.0,100.0,0.0,100.0,75.0,3
573,Rietspruit Weir @ Luttig's Farm ,2018,2,Apr-Jun,15.0,119.0,17367.0,7.5,3.15,0.21,80.0,90.91,0.0,100.0,67.73,3
574,Rietspruit Weir @ Luttig's Farm ,2018,3,Jul-Sep,16.0,118.0,1589.0,7.6,3.15,0.24,80.0,90.91,0.0,100.0,67.73,3
575,Rietspruit Weir @ Luttig's Farm ,2018,4,Oct-Dec,23.0,109.0,11306.0,7.5,3.99,0.26,80.0,100.0,0.0,100.0,70.0,3
576,Klip River @ Lido Hotel ,2019,1,Jan-Mar,0.0,47.0,0.0,7.2,4.0,0.61,40.0,90.91,0.0,0.0,32.73,3
577,Klip River @ Lido Hotel ,2019,2,Apr-Jun,0.0,52.0,0.0,7.4,3.7,0.72,40.0,90.91,0.0,0.0,32.73,3
578,Klip River @ Lido Hotel ,2019,3,Jul-Sep,0.0,57.0,0.0,7.4,3.8,0.81,40.0,90.91,0.0,0.0,32.73,3
579,Klip River @ Lido Hotel ,2019,4,Oct-Dec,0.0,55.0,0.0,7.5,2.15,0.84,40.0,90.91,0.0,0.0,32.73,3
580,Klip River @ Everite ,2019,1,Jan-Mar,0.0,46.0,0.0,7.2,3.5,0.52,40.0,90.91,0.0,0.0,32.73,3
581,Klip River @ Everite ,2019,2,Apr-Jun,0.0,52.0,0.0,7.3,4.43,0.85,40.0,81.82,0.0,0.0,30.46,3
582,Klip River @ Everite ,2019,3,Jul-Sep,0.0,59.0,0.0,7.3,4.23,0.74,40.0,90.91,0.0,0.0,32.73,3
583,Klip River @ Everite ,2019,4,Oct-Dec,0.0,54.0,0.0,7.5,2.4,0.84,40.0,90.91,0.0,0.0,32.73,3
584,Klip River from Roodepoort @ R41 Bridge,2019,1,Jan-Mar,0.0,43.0,0.0,7.4,0.5,0.25,40.0,90.91,0.0,0.0,32.73,3
585,Klip River from Roodepoort @ R41 Bridge,2019,2,Apr-Jun,0.0,37.0,0.0,7.5,1.67,0.25,40.0,100.0,0.0,0.0,35.0,3
586,Klip River from Roodepoort @ R41 Bridge,2019,3,Jul-Sep,0.0,52.0,0.0,7.4,0.63,0.42,40.0,90.91,0.0,0.0,32.73,3
587,Klip River from Roodepoort @ R41 Bridge,2019,4,Oct-Dec,0.0,32.0,0.0,7.4,1.55,0.68,40.0,90.91,0.0,0.0,32.73,3
588,Klip River from Witpoortjie @ R41 Bridge,2019,1,Jan-Mar,0.0,25.0,0.0,7.5,0.54,0.25,40.0,100.0,0.0,0.0,35.0,3
589,Klip River from Witpoortjie @ R41 Bridge,2019,2,Apr-Jun,0.0,42.0,0.0,7.4,1.75,0.63,40.0,81.82,0.0,0.0,30.46,3
590,Klip River from Witpoortjie @ R41 Bridge,2019,3,Jul-Sep,0.0,20.0,0.0,7.3,0.5,0.34,40.0,100.0,0.0,0.0,35.0,3
591,Klip River from Witpoortjie @ R41 Bridge,2019,4,Oct-Dec,0.0,38.0,0.0,7.3,0.5,0.36,40.0,100.0,0.0,0.0,35.0,3
592,Klip River Weir @ Henley-On- Klip,2019,1,Jan-Mar,0.0,67.0,12292.0,7.2,3.34,0.58,40.0,100.0,0.0,0.0,35.0,3
593,Klip River Weir @ Henley-On- Klip,2019,2,Apr-Jun,0.0,74.0,19335.0,7.3,4.23,0.49,40.0,100.0,0.0,0.0,35.0,3
594,Klip River Weir @ Henley-On- Klip,2019,3,Jul-Sep,0.0,90.0,2149.0,7.5,2.93,0.74,40.0,81.82,0.0,0.0,30.46,3
595,Klip River Weir @ Henley-On- Klip,2019,4,Oct-Dec,0.0,82.0,6885.0,7.5,1.31,0.9,40.0,72.73,0.0,0.0,28.18,3
596,Klip River Weir @ Zwartkopjes Farm,2019,1,Jan-Mar,31.0,47.0,12345.0,7.2,4.23,0.61,60.0,90.91,0.0,100.0,62.73,3
597,Klip River Weir @ Zwartkopjes Farm,2019,2,Apr-Jun,30.0,54.0,44623.0,7.4,4.39,0.56,60.0,100.0,0.0,100.0,65.0,3
598,Klip River Weir @ Zwartkopjes Farm,2019,3,Jul-Sep,46.0,57.0,3210.0,7.5,3.31,0.77,60.0,81.82,0.0,100.0,60.46,3
599,Klip River Weir @ Zwartkopjes Farm,2019,4,Oct-Dec,43.0,56.0,45187.0,7.5,2.06,0.76,60.0,81.82,0.0,100.0,60.46,3
600,Klip River downstream of Rietspruit Confluence,2019,1,Jan-Mar,0.0,68.0,39730.0,7.3,3.15,0.45,40.0,100.0,0.0,0.0,35.0,3
601,Klip River downstream of Rietspruit Confluence,2019,2,Apr-Jun,0.0,75.0,260821.0,7.3,3.83,0.47,40.0,90.91,0.0,0.0,32.73,3
602,Klip River downstream of Rietspruit Confluence,2019,3,Jul-Sep,0.0,85.0,6676.0,7.5,2.88,0.49,40.0,100.0,0.0,0.0,35.0,3
603,Klip River downstream of Rietspruit Confluence,2019,4,Oct-Dec,0.0,81.0,2359.0,7.5,2.05,0.74,40.0,81.82,0.0,0.0,30.46,3
604,Harringtonspruit @ Nancefield Industrial Area,2019,1,Jan-Mar,0.0,59.0,0.0,7.3,1.6,1.33,40.0,81.82,0.0,0.0,30.46,3
605,Harringtonspruit @ Nancefield Industrial Area,2019,2,Apr-Jun,0.0,64.0,0.0,7.6,1.18,1.55,40.0,81.82,0.0,0.0,30.46,3
606,Harringtonspruit @ Nancefield Industrial Area,2019,3,Jul-Sep,0.0,73.0,0.0,7.5,0.5,0.79,40.0,81.82,0.0,0.0,30.46,3
607,Harringtonspruit @ Nancefield Industrial Area,2019,4,Oct-Dec,0.0,66.0,0.0,7.6,0.75,1.6,40.0,81.82,0.0,0.0,30.46,3
608,Klip River @ Olifantsvlei Sewage Works,2019,1,Jan-Mar,0.0,46.0,6880.0,7.5,2.0,0.25,40.0,100.0,0.0,0.0,35.0,3
609,Klip River @ Olifantsvlei Sewage Works,2019,2,Apr-Jun,0.0,57.0,53790.0,7.5,2.53,0.57,40.0,90.91,0.0,0.0,32.73,3
