sample_id,year,qtr,quarter,aluminium,ammonium,chloride,fluoride,iron,magnesium,manganese,nitrate,phosphate,sodium,sulphate,compliance_%
S1,2015,4,Oct-Dec,0.10,0.44,74.0,0.45,0.18,20.0,0.14,0.25,0.18,81.0,15,100.0
S2,2015,1,Jan-Mar,0.12,0.73,47.0,0.35,0.12,14.0,0.07,1.54,0.43,49.0,73,100.0
S2,2015,2,Apr-Jun,0.13,0.22,51.0,0.31,0.18,15.0,0.06,2.12,0.39,59.0,69,100.0
S2,2015,3,Jul-Sep,0.10,0.12,53.0,0.31,0.13,18.0,0.06,2.47,0.41,68.0,84,100.0
S2,2015,4,Oct-Dec,0.08,0.5,62.0,0.42,0.07,18.0,0.05,0.88,0.36,72.0,90,100.0
B1,2016,1,Jan-Mar,0.02,0.1,48.0,0.45,0.06,8.0,0.04,3.65,0.08,21.0,69,100.0
B1,2016,2,Apr-Jun,0.04,0.46,22.0,4.71,0.15,9.0,0.1,0.57,0.13,23.0,36,90.91
B1,2016,3,Jul-Sep,0.06,0.26,30.0,0.33,0.21,10.0,0.12,0.65,0.1,27.0,46,100.0
B1,2016,4,Oct-Dec,0.03,0.24,29.0,0.32,0.11,8.0,0.06,0.82,0.1,25.0,55,100.0
B2,2016,1,Jan-Mar,0.03,1.73,50.0,0.4,0.13,9.0,0.18,0.62,0.41,48.0,43,100.0
B2,2016,2,Apr-Jun,0.03,10.63,66.0,0.24,0.11,10.0,0.15,1.28,0.93,59.0,61,81.82
B2,2016,3,Jul-Sep,0.03,6.3,56.0,0.27,0.15,9.0,0.04,1.5,1.5,54.0,181,81.82
B2,2016,4,Oct-Dec,0.04,5.63,51.0,0.23,0.67,8.0,0.1,0.27,2.27,52.0,40,81.82
B3,2016,1,Jan-Mar,0.07,1.81,71.0,0.23,0.05,13.0,0.17,2.36,0.35,64.0,94,100.0
B3,2016,2,Apr-Jun,0.03,1.76,64.0,0.19,0.01,11.0,0.03,1.9,0.16,52.0,65,100.0
B3,2016,3,Jul-Sep,0.04,1.19,49.0,0.22,0.05,9.0,0.04,1.83,0.13,39.0,113,100.0
B3,2016,4,Oct-Dec,0.06,0.62,77.0,0.15,0.11,9.0,0.03,2.23,0.53,58.0,64,100.0
B4,2016,1,Jan-Mar,0.05,0.15,42.0,0.51,0.07,11.0,0.06,0.2,0.35,43.0,40,100.0
B4,2016,2,Apr-Jun,0.04,0.51,49.0,0.27,0.08,10.0,0.06,0.76,0.18,41.0,56,100.0
B4,2016,3,Jul-Sep,0.05,0.35,46.0,0.29,0.15,13.0,0.09,1.17,0.13,46.0,83,100.0
B4,2016,4,Oct-Dec,0.03,0.2,48.0,0.2,0.08,10.0,0.13,0.15,0.27,51.0,55,100.0
B9,2016,1,Jan-Mar,0.15,0.76,70.0,0.4,0.2,22.0,0.16,1.27,0.1,70.0,143,100.0
B9,2016,2,Apr-Jun,0.07,0.64,57.0,0.42,0.15,27.0,0.22,3.31,0.15,71.0,149,100.0
B9,2016,3,Jul-Sep,0.05,0.51,87.0,0.26,0.16,28.0,0.17,2.82,0.1,86.0,228,100.0
B9,2016,4,Oct-Dec,0.12,1.04,80.0,0.31,0.14,27.0,0.36,3.34,0.15,88.0,155,100.0
B13,2016,1,Jan-Mar,0.09,2.03,51.0,0.35,0.81,12.0,0.34,0.49,0.96,57.0,44,90.91
B13,2016,2,Apr-Jun,0.06,2.35,63.0,0.34,0.64,12.0,0.25,1.77,1.11,76.0,74,90.91
B13,2016,3,Jul-Sep,0.05,3.4,61.0,0.26,0.64,11.0,0.2,1.64,1.03,69.0,72,90.91
B13,2016,4,Oct-Dec,0.08,2.04,49.0,0.29,0.67,10.0,0.14,0.83,1.08,58.0,72,90.91
B5,2016,1,Jan-Mar,0.03,2.37,50.0,0.48,0.8,16.0,0.42,0.44,0.93,70.0,57,90.91
B5,2016,2,Apr-Jun,0.07,4.03,70.0,0.31,0.49,18.0,0.25,0.9,0.78,79.0,112,90.91
B5,2016,3,Jul-Sep,0.09,4.17,74.0,0.21,0.65,17.0,0.47,0.96,1.42,81.0,133,90.91
B5,2016,4,Oct-Dec,0.11,3.9,71.0,0.21,0.61,18.0,0.42,0.43,1.01,78.0,152,90.91
B16,2016,1,Jan-Mar,0.01,2.4,74.0,0.43,0.09,19.0,0.57,0.75,1.29,79.0,106,90.91
B16,2016,2,Apr-Jun,0.03,2.3,68.0,0.39,0.14,21.0,0.35,1.13,0.63,75.0,163,90.91
B16,2016,3,Jul-Sep,0.07,4.34,66.0,0.22,0.19,36.0,0.22,0.78,0.56,86.0,363,100.0
B16,2016,4,Oct-Dec,0.03,0.87,87.0,0.34,0.15,47.0,0.57,1.26,1.18,114.0,99,90.91
B6,2016,1,Jan-Mar,0.07,0.1,37.0,0.52,0.08,12.0,0.09,0.61,0.11,38.0,32,100.0
B6,2016,2,Apr-Jun,0.03,0.38,67.0,0.31,0.05,13.0,0.04,0.65,0.13,42.0,60,100.0
B6,2016,3,Jul-Sep,0.04,2.93,53.0,0.24,0.32,15.0,0.25,0.34,1.13,49.0,96,90.91
B6,2016,4,Oct-Dec,0.06,0.2,27.0,0.3,0.26,12.0,0.26,0.16,0.1,25.0,43,100.0
B15,2016,1,Jan-Mar,0.02,1.04,73.0,0.44,0.1,19.0,1.31,0.95,1.43,76.0,90,81.82
B15,2016,2,Apr-Jun,0.03,0.85,69.0,0.35,0.03,19.0,0.11,0.83,0.59,68.0,125,100.0
B15,2016,3,Jul-Sep,0.05,4.13,64.0,0.21,0.11,32.0,0.11,0.72,0.54,81.0,265,100.0
B15,2016,4,Oct-Dec,0.04,0.23,56.0,0.28,0.06,30.0,0.17,0.5,0.65,78.0,217,90.91
B17,2016,1,Jan-Mar,0.01,0.1,96.0,0.37,0.04,25.0,1.87,0.33,0.97,101.0,126,81.82
B17,2016,2,Apr-Jun,0.03,0.5,63.0,0.38,0.18,19.0,0.9,0.2,0.45,62.0,108,100.0
B17,2016,3,Jul-Sep,0.03,0.2,81.0,0.23,0.23,40.0,0.9,0.1,0.26,92.0,288,100.0
B17,2016,4,Oct-Dec,0.03,0.2,88.0,0.44,0.03,44.0,0.36,0.45,0.62,118.0,237,90.91
B11,2016,1,Jan-Mar,0.03,0.1,108.0,0.26,0.13,26.0,0.51,0.36,0.97,106.0,140,90.91
B11,2016,2,Apr-Jun,0.05,0.49,76.0,0.24,0.05,19.0,0.14,0.19,0.58,67.0,102,100.0
B11,2016,3,Jul-Sep,0.04,0.24,90.0,0.23,0.03,37.0,0.08,0.5,0.51,104.0,372,100.0
B11,2016,4,Oct-Dec,0.03,0.2,89.0,0.35,0.02,44.0,0.21,0.4,0.5,120.0,177,100.0
B7,2016,1,Jan-Mar,0.06,0.1,69.0,0.73,0.62,26.0,2.49,1,0.1,115.0,280,90.91
B7,2016,2,Apr-Jun,0.03,1.04,66.0,0.45,0.47,25.0,1.5,0.43,0.13,88.0,298,90.91
B7,2016,3,Jul-Sep,0.03,1.27,62.0,0.35,0.25,29.0,1.02,0.24,0.18,101.0,272,90.91
B7,2016,4,Oct-Dec,0.03,0.28,42.0,0.31,0.39,24.0,2.06,0.38,0.1,96.0,308,90.91
B8,2016,1,Jan-Mar,0.14,0.12,83.0,0.48,0.15,22.0,0.21,0.41,0.65,71.0,129,90.91
B8,2016,2,Apr-Jun,0.08,0.49,65.0,0.33,0.09,19.0,0.13,1.46,0.55,66.0,138,100.0
B8,2016,3,Jul-Sep,0.07,0.45,81.0,0.37,0.07,34.0,0.63,0.28,0.26,105.0,230,100.0
B8,2016,4,Oct-Dec,0.15,0.45,74.0,0.33,0.12,33.0,0.23,0.22,0.4,95.0,261,100.0
B14,2016,1,Jan-Mar,0.09,0.17,77.0,0.33,0.18,21.0,0.09,1.92,0.94,88.0,113,90.91
B14,2016,2,Apr-Jun,0.06,0.7,58.0,0.41,0.06,17.0,0.05,1.66,0.61,66.0,101,90.91
B14,2016,3,Jul-Sep,0.11,0.28,88.0,0.29,0.09,34.0,0.21,0.47,0.34,104.0,380,100.0
B14,2016,4,Oct-Dec,0.08,0.43,79.0,0.35,0.21,36.0,0.2,1.83,0.58,105.0,157,100.0
B12,2016,1,Jan-Mar,0.10,3.03,30.0,0.35,0.2,11.0,0.16,5.1,1.01,40.0,35,90.91
B12,2016,2,Apr-Jun,0.31,6.67,31.0,0.36,0.44,12.0,0.23,3.23,0.76,42.0,44,81.82
B12,2016,3,Jul-Sep,0.85,8.53,32.0,0.22,0.69,11.0,0.31,2.8,1.37,42.0,44,72.73
B12,2016,4,Oct-Dec,0.21,5.17,26.0,0.23,0.31,10.0,0.16,2.13,1.02,35.0,40,81.82
B10,2016,1,Jan-Mar,0.18,0.35,65.0,0.36,0.23,19.0,0.23,1.53,0.79,79.0,103,90.91
B10,2016,2,Apr-Jun,0.18,0.53,51.0,0.31,0.23,16.0,0.13,1.83,0.53,59.0,101,100.0
B10,2016,3,Jul-Sep,0.14,0.41,64.0,0.34,0.17,29.0,0.19,1.72,0.52,89.0,279,100.0
B10,2016,4,Oct-Dec,0.21,0.31,64.0,0.4,0.24,29.0,0.16,1.65,0.56,76.0,279,100.0
S1,2016,1,Jan-Mar,0.58,0.13,42.0,0.41,0.21,17.0,0.2,0.46,0.26,54.0,24,90.91
S1,2016,2,Apr-Jun,0.66,0.2,14.0,0.26,0.31,8.0,0.1,0.54,0.13,24.0,27,90.91
S1,2016,3,Jul-Sep,0.10,0.22,26.0,0.35,0.19,11.0,0.09,0.1,0.1,28.0,23,100.0
S1,2016,4,Oct-Dec,1.07,0.21,31.0,0.32,0.69,11.0,0.02,0.41,0.17,36.0,16,90.91
S2,2016,1,Jan-Mar,0.09,0.12,68.0,0.39,0.12,19.0,0.05,1.19,0.89,78.0,125,90.91
S2,2016,2,Apr-Jun,0.14,0.5,53.0,0.27,0.17,16.0,0.05,1.87,0.34,58.0,87,100.0
S2,2016,3,Jul-Sep,0.11,0.9,78.0,0.28,0.19,28.0,0.07,1.71,0.33,86.0,279,100.0
S2,2016,4,Oct-Dec,0.48,0.34,53.0,0.38,0.18,25.0,0.05,1.71,0.42,71.0,229,100.0
B1,2017,1,Jan-Mar,0.03,0.16,24.0,0.3,0.12,8.0,0.06,0.1,0.13,16.0,20,100.0
B1,2017,2,Apr-Jun,0.05,0.05,31.0,0.21,0.21,10.0,0.12,0.16,0.2,22.0,28,100.0
B1,2017,3,Jul-Sep,0.05,1.05,50.0,0.55,0.35,10.0,0.12,1.16,0.24,26.0,74,100.0
B1,2017,4,Oct-Dec,0.03,0.26,36.0,0.5,0.13,11.0,0.11,0.45,0.2,27.0,43,100.0
B2,2017,1,Jan-Mar,0.07,4.56,48.0,0.3,0.63,8.0,0.09,0.21,1.09,31.0,35,90.91
B2,2017,2,Apr-Jun,0.03,4.98,58.0,0.19,0.36,9.0,0.17,0.41,1.28,48.0,35,90.91
B2,2017,3,Jul-Sep,0.17,5.0,51.0,0.29,0.33,8.0,0.14,0.98,0.8,37.0,49,90.91
B2,2017,4,Oct-Dec,0.03,7.5,50.0,0.22,0.3,8.0,0.12,0.44,2.6,51.0,32,81.82
B3,2017,1,Jan-Mar,0.07,0.15,55.0,0.15,0.3,12.0,0.11,0.86,0.13,40.0,77,100.0
B3,2017,2,Apr-Jun,0.12,0.18,80.0,0.2,0.52,17.0,0.08,0.61,0.2,57.0,120,100.0
B3,2017,3,Jul-Sep,0.11,0.24,71.0,0.48,0.22,15.0,0.12,3.8,0.2,58.0,118,100.0
B3,2017,4,Oct-Dec,0.04,0.3,64.0,0.2,0.13,15.0,0.1,1.09,0.2,56.0,77,100.0
B4,2017,1,Jan-Mar,0.06,0.15,34.0,0.3,0.12,12.0,0.4,0.3,0.13,30.0,74,100.0
B4,2017,2,Apr-Jun,0.07,1.31,57.0,0.2,0.13,16.0,0.1,0.09,0.21,43.0,83,100.0
B4,2017,3,Jul-Sep,0.06,0.05,56.0,0.26,0.08,15.0,0.06,0.25,0.2,57.0,115,100.0
B4,2017,4,Oct-Dec,0.03,0.26,54.0,0.24,0.09,14.0,0.1,0.44,0.31,56.0,75,100.0
B9,2017,1,Jan-Mar,0.07,0.65,41.0,0.18,0.15,15.0,0.23,1.52,0.52,46.0,99,100.0
B9,2017,2,Apr-Jun,0.10,0.5,72.0,0.22,0.11,32.0,0.14,3.3,0.25,76.0,208,100.0
B9,2017,3,Jul-Sep,0.08,1.0,35.0,0.22,0.18,31.0,0.21,2.59,0.7,92.0,183,90.91
B9,2017,4,Oct-Dec,0.08,1.46,74.0,0.21,0.12,24.0,0.19,1.68,0.47,84.0,166,100.0
B13,2017,1,Jan-Mar,0.08,0.74,66.0,0.25,0.31,11.0,0.15,1,0.61,56.0,59,90.91
B13,2017,2,Apr-Jun,0.07,3.06,70.0,0.22,0.3,12.0,0.16,1.51,1.01,68.0,65,90.91
B13,2017,3,Jul-Sep,0.08,2.23,60.0,0.37,0.2,13.0,0.12,2.12,0.84,72.0,118,90.91
B13,2017,4,Oct-Dec,0.06,1.17,55.0,0.22,0.23,12.0,0.14,1.04,1.82,65.0,63,90.91
B5,2017,1,Jan-Mar,0.05,0.83,53.0,0.25,0.25,12.0,0.34,0.34,0.46,41.0,85,100.0
B5,2017,2,Apr-Jun,0.05,2.07,81.0,0.18,0.32,20.0,0.23,0.67,1.03,70.0,112,90.91
B5,2017,3,Jul-Sep,0.15,0.61,66.0,0.24,0.28,18.0,0.15,2.33,1.01,75.0,127,90.91
B5,2017,4,Oct-Dec,0.08,1.2,63.0,0.21,0.24,15.0,0.32,0.7,1.06,72.0,84,90.91
B16,2017,1,Jan-Mar,0.03,0.64,75.0,0.28,0.25,23.0,0.35,0.54,0.51,64.0,259,100.0
B16,2017,2,Apr-Jun,0.03,0.36,108.0,0.3,0.11,40.0,0.18,0.91,0.48,99.0,372,100.0
B16,2017,3,Jul-Sep,0.03,0.14,77.0,0.47,0.08,41.0,0.07,1.3,0.58,125.0,222,100.0
B16,2017,4,Oct-Dec,0.03,0.15,86.0,0.21,0.1,44.0,0.24,0.59,0.85,102.0,457,90.91
B6,2017,1,Jan-Mar,0.21,0.15,70.0,0.38,0.12,15.0,0.35,0.21,0.17,39.0,148,100.0
B6,2017,2,Apr-Jun,0.18,0.11,77.0,0.2,0.06,16.0,0.46,1.55,0.2,36.0,73,100.0
B6,2017,3,Jul-Sep,0.38,2.51,54.0,0.48,0.3,11.0,1.15,3.47,0.2,37.0,43,90.91
B6,2017,4,Oct-Dec,0.04,5.2,44.0,0.26,0.41,13.0,2.59,1.87,0.21,40.0,35,81.82
B15,2017,1,Jan-Mar,0.03,0.21,33.0,0.29,0.07,21.0,0.38,0.3,0.58,62.0,180,100.0
B15,2017,2,Apr-Jun,0.03,0.11,115.0,0.19,0.03,41.0,0.11,0.84,0.43,105.0,438,100.0
B15,2017,3,Jul-Sep,0.03,0.08,88.0,0.48,0.03,46.0,0.09,0.82,0.45,135.0,345,100.0
B15,2017,4,Oct-Dec,0.03,0.24,85.0,0.22,0.01,38.0,0.16,0.58,0.89,99.0,430,90.91
B17,2017,1,Jan-Mar,0.03,0.15,77.0,0.36,0.03,26.0,0.24,0.1,0.67,67.0,318,90.91
B17,2017,2,Apr-Jun,0.03,0.63,106.0,0.22,0.01,39.0,0.15,0.07,0.52,94.0,378,100.0
B17,2017,3,Jul-Sep,0.03,0.05,97.0,0.51,0.02,43.0,0.1,0.21,0.36,108.0,341,100.0
B17,2017,4,Oct-Dec,0.03,0.05,102.0,0.25,0.01,51.0,0.21,0.44,0.57,133.0,590,90.91
B11,2017,1,Jan-Mar,0.03,0.15,73.0,0.42,0.02,25.0,0.05,0.1,0.72,66.0,287,90.91
B11,2017,2,Apr-Jun,0.03,0.05,102.0,0.22,0.01,37.0,0.07,0.57,0.51,92.0,400,100.0
B11,2017,3,Jul-Sep,0.03,0.24,86.0,0.51,0.04,44.0,0.11,0.23,0.35,95.0,302,100.0
B11,2017,4,Oct-Dec,0.03,0.05,116.0,0.63,0.05,54.0,0.62,2.56,0.43,140.0,613,90.91
B7,2017,1,Jan-Mar,0.13,0.19,54.0,0.5,0.5,14.0,0.93,0.16,0.13,53.0,208,100.0
B7,2017,2,Apr-Jun,0.20,0.2,54.0,0.34,1.53,21.0,1.75,0.1,0.2,59.0,210,81.82
B7,2017,3,Jul-Sep,0.29,0.21,44.0,0.52,2.34,36.0,2.82,0.28,0.2,78.0,310,81.82
B7,2017,4,Oct-Dec,0.03,1.53,48.0,0.23,0.97,57.0,5.8,0.44,0.2,100.0,1000,81.82
B8,2017,1,Jan-Mar,0.11,0.39,75.0,0.33,0.34,24.0,0.93,0.17,0.53,68.0,244,100.0
B8,2017,2,Apr-Jun,0.06,0.14,80.0,0.27,0.1,29.0,0.1,0.67,0.38,82.0,350,100.0
B8,2017,3,Jul-Sep,0.03,0.22,93.0,0.25,0.08,44.0,0.11,1.38,0.36,126.0,341,100.0
B8,2017,4,Oct-Dec,0.05,0.11,105.0,0.26,0.08,46.0,0.19,0.44,0.48,123.0,636,90.91
B14,2017,1,Jan-Mar,0.18,0.15,43.0,0.33,0.23,23.0,0.14,0.38,0.57,64.0,205,100.0
B14,2017,2,Apr-Jun,0.05,0.27,99.0,0.22,0.12,36.0,0.07,0.72,0.48,86.0,387,100.0
B14,2017,3,Jul-Sep,0.03,0.35,93.0,0.51,0.08,41.0,0.11,0.91,0.39,122.0,258,100.0
B14,2017,4,Oct-Dec,0.08,4.94,85.0,0.24,0.12,32.0,0.2,0.98,0.62,89.0,425,90.91
B12,2017,1,Jan-Mar,0.25,1.17,28.0,0.35,0.54,12.0,0.16,1.59,0.17,27.0,42,100.0
B12,2017,2,Apr-Jun,0.70,4.63,46.0,0.23,0.95,13.0,0.24,1.72,0.71,42.0,38,81.82
B12,2017,3,Jul-Sep,0.53,8.8,35.0,0.56,0.71,11.0,0.64,1.38,1.54,44.0,40,72.73
B12,2017,4,Oct-Dec,0.06,5.52,47.0,0.25,0.08,27.0,0.37,0.76,0.61,65.0,207,81.82
B10,2017,1,Jan-Mar,0.16,0.29,65.0,0.36,0.25,22.0,0.09,0.9,0.53,60.0,204,100.0
B10,2017,2,Apr-Jun,0.11,0.62,87.0,0.26,0.18,31.0,0.08,1.58,0.45,81.0,367,100.0
B10,2017,3,Jul-Sep,0.08,0.53,75.0,0.32,0.15,37.0,0.15,1.79,0.56,98.0,311,100.0
B10,2017,4,Oct-Dec,0.09,0.8,76.0,0.33,0.13,37.0,0.28,1.05,0.5,87.0,407,100.0
S1,2017,1,Jan-Mar,1.29,0.12,11.0,0.3,0.59,7.0,0.06,0.8,0.17,14.0,19,90.91
S1,2017,2,Apr-Jun,0.15,0.5,36.0,0.35,0.18,13.0,0.07,0.19,0.34,25.0,20,100.0
S1,2017,3,Jul-Sep,0.06,0.17,44.0,0.28,0.12,15.0,0.07,1.28,0.2,40.0,22,100.0
S1,2017,4,Oct-Dec,0.09,0.07,47.0,0.25,0.12,19.0,0.16,0.55,0.21,49.0,12,100.0
S2,2017,1,Jan-Mar,0.19,0.2,53.0,0.32,0.17,18.0,0.06,1.08,0.43,45.0,138,100.0
S2,2017,2,Apr-Jun,0.12,0.3,78.0,0.26,0.21,29.0,0.12,1.88,0.33,74.0,297,100.0
S2,2017,3,Jul-Sep,0.13,0.06,77.0,0.33,0.2,35.0,0.1,1.78,0.26,92.0,317,100.0
S2,2017,4,Oct-Dec,0.05,0.15,85.0,0.24,0.05,36.0,0.05,1.56,0.39,95.0,436,100.0
B1,2018,1,Jan-Mar,0.04,0.1,37.0,0.34,0.14,9.0,0.06,0.69,0.17,20.0,110,100.0
B1,2018,2,Apr-Jun,0.03,0.13,24.0,0.23,0.11,7.0,0.06,0.44,0.17,18.0,31,100.0
B1,2018,3,Jul-Sep,0.06,0.15,40.0,0.29,0.05,9.0,0.01,0.57,0.13,29.0,54,100.0
B1,2018,4,Oct-Dec,0.04,4.05,55.0,0.47,0.09,18.0,0.08,0.6,0.9,42.0,65,90.91
B2,2018,1,Jan-Mar,0.03,9.93,41.0,0.29,0.49,9.0,0.14,0.37,2.53,58.0,42,81.82
B2,2018,2,Apr-Jun,0.03,9.07,57.0,0.19,0.57,11.0,0.16,0.69,1.6,50.0,46,81.82
B2,2018,3,Jul-Sep,0.03,5.63,66.0,0.19,0.44,10.0,0.14,0.81,2.27,65.0,50,81.82
B2,2018,4,Oct-Dec,0.03,5.51,64.0,0.56,0.37,10.0,0.06,0.73,2.22,53.0,55,81.82
B3,2018,1,Jan-Mar,0.04,0.11,45.0,0.47,0.52,7.0,0.08,0.33,0.3,42.0,54,100.0
B3,2018,2,Apr-Jun,0.09,0.15,44.0,0.25,0.2,10.0,0.05,0.44,0.21,41.0,70,100.0
B3,2018,3,Jul-Sep,0.06,0.17,100.0,0.25,0.08,13.0,0.04,3.42,0.33,64.0,80,100.0
B3,2018,4,Oct-Dec,0.03,1.3,101.0,0.55,0.48,18.0,0.39,0.5,2.19,74.0,34,90.91
B4,2018,1,Jan-Mar,0.03,0.1,38.0,0.35,0.05,11.0,0.06,0.36,0.25,40.0,48,100.0
B4,2018,2,Apr-Jun,0.13,0.11,45.0,0.24,0.16,11.0,0.18,0.76,0.18,42.0,83,100.0
B4,2018,3,Jul-Sep,0.09,0.15,59.0,0.24,0.03,12.0,0.02,0.46,0.15,62.0,95,100.0
B4,2018,4,Oct-Dec,0.05,0.06,75.0,0.42,0.07,14.0,0.04,0.5,0.25,68.0,81,100.0
B9,2018,1,Jan-Mar,0.05,2.23,53.0,0.28,0.07,22.0,0.15,0.6,0.18,57.0,108,100.0
B9,2018,2,Apr-Jun,0.05,0.69,63.0,0.23,0.19,21.0,0.23,1.49,0.23,53.0,167,100.0
B9,2018,3,Jul-Sep,0.10,0.53,125.0,0.21,0.15,28.0,0.32,0.9,0.18,102.0,215,100.0
B9,2018,4,Oct-Dec,0.07,2.82,108.0,0.84,0.14,22.0,0.23,1.32,2.11,103.0,163,90.91
B13,2018,1,Jan-Mar,0.05,2.15,81.0,0.26,0.17,16.0,0.2,1.31,2.1,70.0,97,90.91
B13,2018,2,Apr-Jun,0.05,0.88,59.0,0.23,0.15,15.0,0.19,1.71,0.96,64.0,81,90.91
B13,2018,3,Jul-Sep,0.05,0.59,62.0,0.2,0.13,17.0,0.07,2.07,0.81,74.0,62,90.91
B13,2018,4,Oct-Dec,0.06,0.41,81.0,0.7,0.2,25.0,0.13,3.4,0.54,84.0,164,100.0
B5,2018,1,Jan-Mar,0.03,3.23,57.0,0.3,0.07,15.0,0.26,0.59,1.63,66.0,77,90.91
B5,2018,2,Apr-Jun,0.03,0.34,59.0,0.22,0.09,19.0,0.1,1.8,0.62,60.0,117,90.91
B5,2018,3,Jul-Sep,0.05,0.9,97.0,0.21,0.13,17.0,0.5,1.01,0.86,82.0,122,90.91
B5,2018,4,Oct-Dec,0.07,3.8,90.0,0.85,0.22,26.0,0.23,1.04,3.25,89.0,259,90.91
B16,2018,1,Jan-Mar,0.03,0.14,71.0,0.3,0.05,36.0,0.27,0.87,0.73,79.0,278,90.91
B16,2018,2,Apr-Jun,0.03,0.11,78.0,0.21,0.06,38.0,0.11,1.01,0.56,86.0,517,90.91
B16,2018,3,Jul-Sep,0.03,0.15,110.0,0.21,0.03,48.0,0.15,1.77,0.42,132.0,857,90.91
B16,2018,4,Oct-Dec,0.03,0.35,82.0,0.66,0.05,20.0,0.24,0.6,0.94,88.0,129,90.91
B6,2018,1,Jan-Mar,0.03,0.41,49.0,0.3,0.16,28.0,0.18,0.9,0.47,79.0,147,100.0
B6,2018,2,Apr-Jun,0.01,0.2,54.0,0.24,0.01,16.0,0.02,1.07,0.19,38.0,78,100.0
B6,2018,3,Jul-Sep,0.03,0.21,47.0,0.22,0.13,13.0,0.24,0.98,0.13,33.0,35,100.0
B6,2018,4,Oct-Dec,0.03,0.67,58.0,0.42,0.19,9.0,0.33,0.97,0.25,21.0,37,100.0
B15,2018,1,Jan-Mar,0.12,0.89,60.0,0.31,0.23,27.0,0.19,0.63,1.04,61.0,136,90.91
B15,2018,2,Apr-Jun,0.03,0.18,89.0,0.21,0.05,38.0,0.15,0.75,0.53,89.0,528,90.91
B15,2018,3,Jul-Sep,0.03,0.15,96.0,0.23,0.03,44.0,0.13,0.91,0.47,557.0,703,81.82
B15,2018,4,Oct-Dec,0.03,0.05,87.0,0.46,0.11,22.0,0.35,0.5,0.91,93.0,152,90.91
B17,2018,1,Jan-Mar,0.03,0.15,80.0,0.24,0.02,34.0,1.39,0.33,0.58,302.0,442,81.82
B17,2018,2,Apr-Jun,0.03,0.1,65.0,0.24,0.02,31.0,0.14,0.44,0.62,71.0,345,90.91
B17,2018,3,Jul-Sep,0.03,0.15,99.0,0.24,0.01,47.0,0.12,0.46,0.42,372.0,697,81.82
B17,2018,4,Oct-Dec,0.03,0.06,122.0,0.85,0.06,51.0,0.38,0.5,0.52,90.0,723,90.91
B11,2018,1,Jan-Mar,0.03,0.1,81.0,0.39,0.01,38.0,0.21,0.33,0.58,99.0,403,100.0
B11,2018,2,Apr-Jun,0.03,0.11,67.0,0.25,0.01,31.0,0.07,0.44,0.6,74.0,305,100.0
B11,2018,3,Jul-Sep,0.08,0.15,98.0,0.25,0.15,34.0,0.21,0.46,0.42,291.0,670,81.82
B11,2018,4,Oct-Dec,0.03,0.04,117.0,0.84,0.01,51.0,0.44,0.5,0.52,111.0,670,90.91
B7,2018,1,Jan-Mar,0.04,0.14,55.0,0.43,0.18,30.0,1.33,0.37,0.17,167.0,307,81.82
B7,2018,2,Apr-Jun,0.04,0.11,43.0,0.41,0.42,17.0,0.41,0.44,0.17,61.0,160,100.0
B7,2018,3,Jul-Sep,0.06,0.18,45.0,0.39,0.19,15.0,0.52,0.46,0.13,73.0,257,100.0
B7,2018,4,Oct-Dec,0.03,0.67,54.0,1.13,0.54,34.0,0.79,0.55,0.25,65.0,600,81.82
B8,2018,1,Jan-Mar,0.03,0.1,79.0,0.3,0.11,32.0,0.08,0.41,0.63,133.0,358,90.91
B8,2018,2,Apr-Jun,0.06,0.08,72.0,0.26,0.09,31.0,0.03,0.44,0.52,60.0,365,100.0
B8,2018,3,Jul-Sep,0.04,0.25,106.0,0.24,0.05,45.0,0.11,0.46,0.33,75.0,682,90.91
B8,2018,4,Oct-Dec,0.09,0.6,102.0,1.72,0.27,38.0,0.5,0.73,0.53,107.0,490,90.91
B14,2018,1,Jan-Mar,0.06,0.11,76.0,0.36,0.1,36.0,0.08,0.7,0.56,93.0,370,100.0
B14,2018,2,Apr-Jun,0.07,0.18,62.0,0.25,0.22,30.0,0.05,0.44,0.55,69.0,265,100.0
B14,2018,3,Jul-Sep,0.04,0.38,117.0,0.24,0.06,44.0,0.09,0.5,0.39,372.0,617,81.82
B14,2018,4,Oct-Dec,0.03,4.72,84.0,0.57,0.1,29.0,0.08,1.66,7.17,68.0,333,90.91
B12,2018,1,Jan-Mar,0.31,2.19,30.0,0.35,0.53,12.0,0.24,2.03,0.44,37.0,29,100.0
B12,2018,2,Apr-Jun,0.27,2.03,33.0,0.2,0.58,13.0,0.21,1.97,0.47,34.0,49,100.0
B12,2018,3,Jul-Sep,0.14,4.4,39.0,0.2,0.31,12.0,0.36,1.8,1.33,55.0,42,90.91
B12,2018,4,Oct-Dec,0.08,3.37,59.0,0.5,0.14,18.0,0.22,2.73,1.4,28.0,144,90.91
B10,2018,1,Jan-Mar,0.13,0.35,65.0,0.27,0.19,31.0,0.12,0.98,0.5,81.0,261,100.0
B10,2018,2,Apr-Jun,0.09,0.39,63.0,0.23,0.17,26.0,0.09,0.83,0.46,67.0,287,100.0
B10,2018,3,Jul-Sep,0.08,0.3,100.0,0.26,0.11,37.0,0.24,1.34,0.67,264.0,615,72.73
